time,event
2480.071688587,lick
2480.237848169,lick
2480.404647749,lick
2481.638124643,lick
2483.938838851,lick
2485.672114488,lick
2491.172820639,lick
2491.67289938,lick
2491.906298792,lick
2496.073568301,lick
2502.807791347,lick
2502.907871095,lick
2503.107990591,lick
2504.441347234,lick
2505.341544968,lick
2509.742573888,lick
2515.409679621,lick
2515.84303853,lick
2515.943278277,lick
2516.109757858,lick
2516.243397522,lick
2516.377077185,lick
2516.643916513,lick
2518.410072067,lick
2522.444061911,lick
2523.010780484,lick
2528.311487139,lick
2528.445246803,lick
2535.412989261,lick
2535.745908423,lick
2535.879228087,lick
2536.01314775,lick
2536.179267332,lick
2536.312706996,lick
2536.713185987,lick
2536.879345569,lick
2538.012862715,lick
2538.680061036,lick
2543.846968028,lick
2544.047047524,lick
2547.414239047,lick
2547.580998627,lick
2550.648190905,lick
2556.415496385,lick
2556.549216049,lick
2557.449373782,lick
2559.215849335,lick
2561.250004214,lick
2561.449603711,lick
2561.516803542,lick
2561.783442871,lick
2561.950242451,lick
2562.149921948,lick
2569.584063232,lick
2569.784182728,lick
2572.251096518,lick
2575.585008124,lick
2575.785047621,lick
2580.985714528,lick
2582.952749576,lick
2583.119389156,lick
2592.520925487,lick
2593.187483809,lick
2593.320843473,lick
2593.454283137,lick
2593.587602801,lick
2593.754402381,lick
2593.85424213,lick
2594.02092171,lick
2595.521157934,lick
2595.788237261,lick
2596.787994744,lick
2601.255303497,lick
2603.322458293,lick
2603.489017874,lick
2607.089448809,lick
2607.25612839,lick
2613.657472274,lick
2613.859591765,lick
2620.225135739,lick
2620.424655237,lick
2626.059281051,lick
2626.259200548,lick
2630.159950727,lick
2630.326190309,lick
2637.360812599,lick
2637.793931508,lick
2637.894331256,lick
2638.02757092,lick
2638.161010584,lick
2638.327770164,lick
2638.461049829,lick
2638.860728823,lick
2644.028075813,lick
2644.194835394,lick
2644.994913379,lick
2645.195912873,lick
2650.495699531,lick
2650.662379111,lick
2656.830323583,lick
2656.963363248,lick
2657.130442827,lick
2657.496961904,lick
2667.931655634,lick
2668.065215298,lick
2671.498686654,lick
2671.632446317,lick
2671.865965729,lick
2677.500031545,lick
2677.666311126,lick
2677.832990707,lick
2680.367064327,lick
2680.533783907,lick
2680.933422901,lick
2689.467961415,lick
2689.635040994,lick
2689.801360575,lick
2694.568708573,lick
2694.702068237,lick
2699.669775731,lick
2699.869535228,lick
2702.369808933,lick
2702.536528513,lick
2708.437833656,lick
2708.570873322,lick
2709.370951307,lick
2709.570910804,lick
2710.637668118,lick
2726.140309089,lick
2726.307228669,lick
2729.574140444,lick
2729.740740025,lick
2730.040859269,lick
2733.474690624,lick
2733.641370204,lick
2738.308838454,lick
2738.508317952,lick
2738.675037532,lick
2739.241756105,lick
2742.042549054,lick
2742.209308634,lick
2744.675902424,lick
2745.97633915,lick
2747.410015541,lick
2752.410642951,lick
2752.577402531,lick
2760.178143396,lick
2760.378342892,lick
2760.578822387,lick
2760.8119418,lick
2761.044861214,lick
2761.178260878,lick
2761.311620542,lick
2761.445500205,lick
2761.578299871,lick
2761.878299116,lick
2763.411895255,lick
2764.345412905,lick
2764.745411897,lick
2768.446002581,lick
2768.612962161,lick
2769.546279811,lick
2770.812996622,lick
2772.179873181,lick
2784.448842292,lick
2784.64832179,lick
2784.848281287,lick
2787.482074656,lick
2787.649154235,lick
2791.549704415,lick
2791.783023828,lick
